rtp_fs,ld_ind_fs,spd_rat_adj_fs,ph_fs
-0.452,0.477,-0.442,-0.177
0.089,-0.248,-0.33,-0.173
0.498,0.32,-0.403,-0.173
0.178,0.359,0.381,-0.188
-0.067,0.423,-0.304,-0.173
0.281,-0.412,0.349,-0.239
-0.248,-0.363,0.068,-0.186
-0.458,-0.321,-0.197,-0.178
-0.299,-0.292,0.17,-0.178
-0.104,-0.474,0.112,-0.25
0.098,0.32,-0.412,-0.173
-0.363,-0.148,0.222,-0.177
-0.315,-0.354,0.132,-0.178
0.198,0.209,0.38,-0.188
0.048,-0.144,-0.276,-0.173
0.451,0.047,-0.436,-0.173
0.164,-0.489,-0.251,-0.25
-0.147,0.414,-0.128,-0.173
-0.195,-0.077,0.276,-0.178
-0.267,0.338,-0.26,-0.177
0.104,-0.282,0.159,-0.174
-0.068,-0.1,0.253,-0.173
-0.485,0.179,-0.405,-0.177
0.464,-0.137,0.156,-0.173
0.485,0.256,0.203,-0.173
0.09,-0.294,0.426,-0.191
0.224,0.215,-0.333,-0.173
0.053,-0.322,0.155,-0.174
0.237,-0.458,0.28,-0.249
0.186,0.445,0.089,-0.173
0.126,0.373,0.358,-0.188
0.105,0.435,-0.405,-0.173
-0.37,-0.476,-0.412,-0.249
0.072,0.398,-0.199,-0.173
0.235,0.333,0.311,-0.174
0.1,0.247,-0.291,-0.173
-0.392,-0.385,0.459,-0.248
0.211,-0.266,0.132,-0.174
-0.468,0.299,0.143,-0.177
0.157,-0.489,0.332,-0.25
-0.4,-0.213,0.242,-0.177
0.238,0.092,0.218,-0.173
0.286,-0.388,-0.152,-0.239
0.149,0.193,-0.202,-0.173
-0.106,0.403,0.231,-0.173
0.304,0.402,0.022,-0.173
-0.115,-0.109,0.099,-0.173
-0.096,-0.419,0.07,-0.238
0.053,-0.158,-0.241,-0.173
0.255,-0.475,-0.491,-0.25
-0.049,0.411,0.323,-0.173
-0.338,-0.475,-0.442,-0.249
-0.472,-0.126,0.492,-0.206
-0.34,-0.303,-0.186,-0.178
-0.033,-0.174,-0.192,-0.173
0.183,0.123,-0.358,-0.173
0.027,0.018,-0.144,-0.173
-0.249,0.147,0.088,-0.177
-0.234,0.042,0.437,-0.196
0.157,0.422,0.307,-0.174
-0.055,0.421,0.412,-0.191
0.198,-0.09,0.131,-0.173
-0.071,-0.427,-0.073,-0.238
0.33,-0.204,0.025,-0.173
-0.324,-0.251,-0.468,-0.177
0.338,-0.46,0.248,-0.25
0.301,-0.417,0.462,-0.232
0.04,0.403,0.321,-0.174
0.253,0.402,0.337,-0.174
-0.371,-0.126,-0.473,-0.177
-0.253,-0.015,-0.415,-0.177
-0.274,0.02,0.068,-0.177
0.166,-0.348,0.25,-0.174
0.457,-0.467,-0.485,-0.25
0.22,-0.421,-0.484,-0.238
0.276,-0.12,0.174,-0.173
0.491,-0.242,0.06,-0.173
0.03,-0.263,0.417,-0.191
0.181,0.027,0.114,-0.173
0.004,0.059,-0.078,-0.173
-0.048,0.043,-0.237,-0.173
-0.106,-0.445,-0.163,-0.249
0.363,0.049,0.012,-0.173
0.15,-0.232,-0.365,-0.173
-0.082,0.455,-0.262,-0.173
0.147,-0.161,-0.249,-0.173
0.163,-0.404,0.292,-0.239
-0.213,-0.21,-0.052,-0.177
0.101,-0.024,0.311,-0.174
-0.171,-0.334,0.328,-0.175
0.221,0.452,0.025,-0.173
0.341,0.104,-0.066,-0.173
0.019,0.476,0.318,-0.174
0.103,0.299,-0.113,-0.173
-0.224,0.37,-0.397,-0.177
0.497,0.098,0.024,-0.173
-0.226,0.344,-0.228,-0.177
-0.042,0.335,-0.485,-0.173
-0.244,-0.274,-0.267,-0.178
-0.458,-0.035,0.374,-0.193
0.144,0.458,-0.177,-0.173
-0.106,0.215,0.433,-0.191
-0.384,0.287,0.46,-0.196
-0.016,0.099,-0.465,-0.173
0.305,0.355,-0.257,-0.173
0.193,0.027,0.233,-0.173
-0.006,-0.056,0.364,-0.188
0.016,0.382,-0.334,-0.173
-0.377,-0.316,0.327,-0.179
-0.125,-0.04,-0.315,-0.173
-0.456,-0.294,-0.065,-0.178
-0.08,0.409,-0.184,-0.173
0.059,-0.153,-0.09,-0.173
-0.235,-0.226,-0.145,-0.177
-0.022,-0.035,0.089,-0.173
-0.177,-0.429,0.232,-0.236
0.401,0.258,0.027,-0.173
0.411,0.473,0.259,-0.173
0.142,0.24,-0.221,-0.173
-0.049,0.295,0.423,-0.191
-0.431,-0.389,0.428,-0.247
-0.046,0.338,0.245,-0.173
0.007,0.471,0.481,-0.206
0.351,-0.049,-0.47,-0.173
0.049,-0.498,-0.354,-0.25
-0.304,0.419,0.331,-0.178
-0.311,-0.206,0.029,-0.177
0.373,-0.39,-0.217,-0.239
0.271,0.374,-0.389,-0.173
-0.124,0.185,0.31,-0.173
-0.044,0.015,0.143,-0.173
-0.052,0.329,-0.275,-0.173
0.07,-0.434,0.47,-0.232
-0.018,0.497,0.22,-0.173
-0.326,-0.447,-0.155,-0.247
-0.259,0.368,-0.014,-0.177
0.003,0.186,-0.468,-0.173
-0.133,0.256,0.193,-0.173
0.426,-0.228,0.107,-0.173
-0.23,0.432,-0.104,-0.177
-0.184,0.11,-0.396,-0.173
0.049,-0.264,-0.402,-0.174
0.081,-0.063,-0.079,-0.173
0.47,-0.289,0.461,-0.191
0.042,-0.298,0.478,-0.206
0.283,0.249,0.036,-0.173
-0.111,-0.372,-0.266,-0.185
-0.078,-0.39,-0.367,-0.239
-0.465,0.322,-0.359,-0.177
0.476,-0.013,0.26,-0.173
-0.366,-0.147,-0.082,-0.177
-0.15,0.04,0.496,-0.206
-0.455,-0.206,0.439,-0.196
0.166,0.208,0.468,-0.206
0.06,0.211,0.161,-0.173
0.247,0.269,0.294,-0.174
-0.103,0.213,-0.054,-0.173
0.216,-0.239,-0.078,-0.173
0.272,-0.289,-0.404,-0.174
-0.392,0.436,0.387,-0.192
0.148,0.083,-0.085,-0.173
-0.42,0.052,-0.093,-0.177
-0.154,-0.475,-0.171,-0.247
-0.438,0.133,-0.049,-0.177
0.0,0.044,0.054,-0.173
0.396,0.202,-0.244,-0.173
-0.228,0.176,-0.106,-0.177
-0.169,0.062,0.43,-0.191
0.186,0.434,-0.382,-0.173
0.097,0.304,0.327,-0.174
-0.374,0.27,0.307,-0.178
-0.198,-0.462,0.246,-0.247
0.253,-0.089,0.076,-0.173
-0.459,0.468,-0.21,-0.177
-0.137,-0.341,-0.126,-0.174
-0.336,0.478,-0.443,-0.177
-0.25,0.315,0.351,-0.193
0.124,-0.392,-0.126,-0.239
-0.441,0.049,0.126,-0.177
0.073,-0.27,0.335,-0.175
0.481,0.428,-0.404,-0.173
0.463,0.292,-0.191,-0.173
-0.147,0.427,-0.287,-0.173
-0.134,0.114,0.265,-0.173
0.489,0.031,0.045,-0.173
-0.251,0.132,-0.037,-0.177
-0.283,-0.141,0.405,-0.192
-0.156,0.411,0.176,-0.173
-0.178,0.41,0.148,-0.173
0.248,-0.022,-0.472,-0.173
0.483,-0.285,-0.263,-0.174
-0.1,-0.445,0.181,-0.249
-0.235,-0.254,0.332,-0.178
0.108,0.439,-0.208,-0.173
-0.366,0.453,-0.266,-0.177
0.143,0.119,0.018,-0.173
-0.408,0.327,-0.343,-0.177
0.242,-0.16,0.454,-0.191
-0.177,-0.109,0.438,-0.191
-0.044,0.1,0.039,-0.173
0.183,0.23,0.275,-0.174
0.236,0.308,-0.372,-0.173
0.261,-0.448,0.49,-0.243
-0.259,0.1,-0.06,-0.177
-0.027,0.43,0.123,-0.173
0.409,-0.067,0.26,-0.173
0.129,0.025,0.476,-0.206
-0.011,-0.345,-0.333,-0.174
0.291,-0.089,-0.348,-0.173
-0.338,-0.184,-0.225,-0.177
-0.261,0.081,0.36,-0.193
-0.306,-0.0,-0.168,-0.177
0.391,0.369,0.187,-0.173
-0.322,0.407,0.437,-0.196
-0.462,0.166,0.395,-0.192
-0.184,-0.472,0.4,-0.247
-0.463,-0.453,-0.463,-0.247
-0.428,-0.418,0.458,-0.248
0.229,0.146,0.108,-0.173
-0.303,0.456,0.276,-0.178
-0.176,-0.215,-0.226,-0.173
0.281,-0.071,0.271,-0.174
0.068,0.458,-0.208,-0.173
-0.472,0.142,0.083,-0.177
0.37,-0.408,-0.402,-0.239
0.038,-0.27,-0.098,-0.174
-0.177,0.297,0.377,-0.188
-0.087,0.309,-0.19,-0.173
0.171,-0.45,-0.446,-0.249
-0.455,-0.438,0.243,-0.246
-0.447,-0.31,0.464,-0.196
-0.042,-0.239,0.105,-0.173
-0.278,-0.256,-0.311,-0.177
-0.203,-0.089,-0.027,-0.177
0.044,0.408,-0.455,-0.173
-0.218,-0.332,0.406,-0.192
-0.085,-0.459,-0.125,-0.25
0.395,0.404,-0.021,-0.173
-0.292,-0.026,-0.247,-0.177
-0.256,0.182,0.226,-0.177
-0.103,0.151,-0.426,-0.173
0.421,0.026,0.308,-0.174
0.225,-0.076,0.225,-0.173
0.447,-0.082,0.462,-0.191
-0.437,0.051,0.183,-0.177
-0.264,0.327,0.292,-0.178
0.042,0.347,0.475,-0.206
-0.354,0.311,-0.063,-0.177
-0.377,-0.163,0.359,-0.193
-0.143,0.445,-0.04,-0.173
-0.174,0.281,-0.1,-0.173
0.193,-0.039,-0.235,-0.173
-0.189,0.241,-0.274,-0.173
0.423,-0.379,-0.133,-0.185
-0.367,-0.266,-0.319,-0.178
-0.184,0.343,-0.445,-0.173
0.061,-0.496,0.104,-0.25
-0.332,-0.317,0.444,-0.196
0.393,0.248,0.297,-0.174
0.032,0.285,-0.203,-0.173
0.055,0.381,-0.481,-0.173
0.481,0.483,0.292,-0.174
-0.127,0.336,-0.313,-0.173
-0.015,0.452,0.19,-0.173
-0.283,0.127,0.431,-0.196
0.377,-0.454,0.398,-0.249
0.451,0.465,0.466,-0.206
-0.145,0.442,0.487,-0.206
0.139,0.399,-0.179,-0.173
-0.41,0.162,-0.19,-0.177
0.088,-0.099,-0.13,-0.173
0.456,-0.234,-0.46,-0.173
0.483,-0.261,-0.409,-0.173
-0.317,0.444,0.18,-0.177
-0.387,-0.266,-0.339,-0.178
0.155,-0.497,0.175,-0.25
0.387,-0.043,-0.045,-0.173
0.168,0.076,-0.247,-0.173
0.318,0.396,0.136,-0.173
0.112,0.074,0.281,-0.174
-0.121,0.213,0.36,-0.188
-0.237,0.323,0.164,-0.177
0.453,0.02,-0.189,-0.173
-0.254,-0.388,0.148,-0.247
0.091,0.003,0.233,-0.173
0.156,0.102,-0.056,-0.173
0.496,-0.263,0.171,-0.173
0.404,-0.036,-0.224,-0.173
-0.148,0.223,0.053,-0.173
-0.258,0.247,-0.046,-0.177
0.02,0.465,0.373,-0.188
-0.057,0.317,0.26,-0.173
-0.102,-0.292,-0.232,-0.174
-0.149,-0.236,-0.215,-0.173
-0.457,-0.37,0.336,-0.187
-0.407,0.053,0.19,-0.177
0.103,0.337,-0.452,-0.173
0.469,-0.417,-0.035,-0.239
-0.236,-0.251,0.444,-0.196
0.112,0.159,-0.377,-0.173
-0.257,-0.433,0.006,-0.246
-0.134,-0.063,0.055,-0.173
-0.06,0.321,-0.272,-0.173
0.158,0.225,-0.087,-0.173
-0.084,-0.429,-0.049,-0.238
0.323,0.155,-0.258,-0.173
0.246,-0.193,-0.108,-0.173
0.06,-0.108,0.116,-0.173
0.41,-0.261,0.19,-0.173
-0.297,-0.399,0.214,-0.247
0.053,-0.206,0.028,-0.173
-0.088,0.006,0.478,-0.206
0.18,0.236,0.017,-0.173
0.222,-0.163,-0.478,-0.173
-0.041,0.084,0.475,-0.206
-0.153,0.33,0.21,-0.173
-0.214,-0.32,0.118,-0.178
0.087,-0.457,-0.259,-0.249
0.077,-0.052,0.07,-0.173
0.073,-0.114,0.318,-0.174
0.346,-0.493,-0.122,-0.25
-0.4,-0.193,0.362,-0.193
-0.467,0.041,-0.307,-0.177
0.486,-0.405,-0.116,-0.239
-0.058,0.278,-0.191,-0.173
-0.022,0.025,0.177,-0.173
0.257,-0.233,-0.17,-0.173
0.329,0.071,0.454,-0.191
-0.32,0.123,-0.089,-0.177
0.208,0.31,-0.193,-0.173
-0.142,0.078,-0.142,-0.173
0.364,-0.31,0.317,-0.175
0.003,-0.442,0.356,-0.249
0.468,0.181,-0.342,-0.173
0.49,-0.341,0.316,-0.175
-0.218,-0.306,0.005,-0.178
-0.17,0.386,-0.459,-0.173
0.128,0.158,0.143,-0.173
0.059,0.361,-0.172,-0.173
