roll_res_fs,ph_fs,td_mm_alwd_fs,pwr_delivery,braking_performance,handling,driven,steered,caster_angle,camber_angle,toe_angle,ld_ip_fs,spd_ip_fs,balanced,rem_life_km_fs
-0.068,-0.478,-0.119,0.5,0.5,0.0,-0.5,-0.5,-0.404,0.351,0.388,-0.403,0.238,0.5,-0.088
0.389,0.143,-0.493,-0.5,0.5,0.5,0.5,-0.5,0.107,0.281,-0.081,0.015,-0.162,-0.5,-0.088
-0.167,-0.499,0.096,0.5,-0.5,0.0,-0.5,0.5,-0.412,0.491,0.314,-0.093,0.227,0.5,-0.104
-0.428,-0.49,-0.4,-0.5,0.0,-0.5,0.5,0.5,0.425,-0.299,0.425,0.44,-0.428,-0.5,0.121
-0.287,0.382,-0.123,-0.5,0.5,0.5,-0.5,0.5,-0.454,0.163,-0.452,0.5,0.168,0.5,-0.029
0.385,0.188,-0.093,0.0,-0.5,0.0,0.5,-0.5,0.146,-0.344,0.458,-0.057,0.058,-0.5,0.094
0.089,-0.319,0.221,0.5,0.5,0.0,-0.5,-0.5,0.491,-0.134,0.189,-0.015,0.224,-0.5,0.028
0.001,-0.147,-0.476,0.5,0.0,-0.5,-0.5,0.5,0.163,-0.473,0.433,0.267,-0.266,-0.5,0.17
-0.136,0.153,0.146,0.5,0.5,-0.5,-0.5,-0.5,-0.398,0.075,-0.111,-0.072,-0.039,0.5,-0.002
-0.314,0.104,-0.072,0.5,-0.5,0.5,0.5,-0.5,0.464,0.094,-0.075,-0.193,0.119,0.5,-0.093
-0.445,0.156,-0.45,0.5,0.5,-0.5,-0.5,-0.5,-0.145,-0.181,-0.248,-0.157,0.363,-0.5,0.083
0.204,-0.428,-0.114,0.5,-0.5,0.5,0.5,-0.5,-0.245,0.061,-0.394,-0.489,-0.293,0.5,-0.068
0.269,-0.284,-0.11,0.5,-0.5,0.5,0.5,-0.5,-0.227,0.391,-0.317,0.468,0.339,0.5,-0.1
0.481,-0.117,-0.209,0.5,-0.5,-0.5,-0.5,-0.5,0.159,0.131,-0.289,0.102,-0.073,0.5,-0.091
0.49,0.117,0.264,0.0,0.5,0.0,-0.5,0.5,-0.206,0.046,-0.235,-0.138,0.486,0.5,-0.028
-0.338,0.477,0.368,-0.5,0.0,0.0,-0.5,-0.5,-0.357,-0.089,-0.301,0.39,-0.361,-0.5,0.161
0.338,-0.488,0.31,0.0,0.5,-0.5,-0.5,0.5,-0.448,-0.312,-0.376,0.039,-0.258,-0.5,0.128
0.269,0.125,-0.373,0.0,0.0,-0.5,0.5,-0.5,0.402,-0.348,0.394,-0.374,-0.096,0.5,0.094
0.025,0.137,-0.239,0.5,0.0,0.0,-0.5,0.5,-0.184,-0.176,0.125,0.028,-0.153,0.5,0.086
-0.261,0.319,-0.243,0.0,-0.5,-0.5,-0.5,0.5,0.214,0.466,0.478,-0.38,0.059,0.5,-0.126
0.232,-0.004,0.059,0.0,0.0,0.0,-0.5,-0.5,-0.04,-0.406,-0.143,-0.117,0.436,-0.5,0.116
-0.002,-0.15,-0.047,0.0,0.0,-0.5,0.5,-0.5,0.466,-0.235,-0.115,-0.08,-0.418,-0.5,0.078
0.419,-0.167,-0.383,0.0,-0.5,0.0,0.5,-0.5,0.37,0.349,0.098,-0.066,0.218,-0.5,-0.141
-0.276,0.038,0.255,-0.5,0.0,0.5,-0.5,0.5,0.218,0.431,-0.297,-0.283,-0.305,0.5,-0.131
0.359,0.029,-0.281,0.5,0.5,0.0,0.5,-0.5,-0.28,-0.054,-0.432,-0.128,0.494,0.5,0.024
-0.492,0.078,-0.469,0.0,0.5,0.0,0.5,-0.5,-0.294,0.449,0.198,-0.079,0.462,0.5,-0.051
0.136,-0.294,0.322,0.0,0.5,-0.5,0.5,0.5,-0.008,0.217,0.437,-0.049,0.161,-0.5,-0.143
-0.269,-0.075,-0.464,0.0,-0.5,-0.5,-0.5,0.5,-0.27,-0.458,0.397,-0.349,0.056,-0.5,0.15
-0.123,-0.457,0.07,0.5,0.5,-0.5,-0.5,0.5,-0.189,0.33,-0.206,0.254,0.329,-0.5,-0.112
0.47,0.142,-0.418,0.5,0.0,-0.5,0.5,0.5,-0.226,0.384,0.214,0.153,0.424,-0.5,-0.064
-0.325,-0.164,-0.443,0.5,0.0,0.0,0.5,-0.5,0.28,0.424,0.058,-0.241,0.271,0.5,-0.131
0.228,-0.322,-0.487,0.5,-0.5,0.0,-0.5,-0.5,-0.252,0.351,-0.216,0.225,-0.227,0.5,-0.086
-0.466,0.269,0.274,0.0,0.5,-0.5,0.5,0.5,0.347,0.033,-0.173,0.464,-0.103,-0.5,-0.077
-0.194,-0.196,-0.361,-0.5,-0.5,0.5,0.5,0.5,0.331,-0.098,0.349,-0.148,0.034,-0.5,0.027
-0.417,-0.048,-0.003,0.0,0.5,0.5,-0.5,0.5,-0.224,0.1,0.464,0.368,-0.466,-0.5,-0.001
-0.49,0.42,0.303,0.0,0.5,-0.5,0.5,0.5,-0.119,0.457,0.325,0.051,-0.348,0.5,-0.09
-0.331,-0.239,0.486,0.5,0.0,-0.5,-0.5,0.5,-0.439,0.03,-0.149,0.012,0.26,-0.5,-0.02
-0.274,-0.496,0.34,-0.5,0.0,-0.5,-0.5,0.5,-0.148,-0.132,0.431,0.368,-0.372,-0.5,0.105
-0.44,0.337,0.302,-0.5,0.0,-0.5,0.5,0.5,-0.298,0.279,0.245,-0.281,0.228,0.5,-0.072
0.078,0.177,0.019,0.0,0.0,0.0,-0.5,0.5,-0.039,-0.187,-0.082,0.061,0.375,0.5,0.113
0.257,-0.246,-0.008,-0.5,-0.5,-0.5,-0.5,0.5,0.009,0.254,-0.157,-0.497,0.041,0.5,-0.095
-0.051,0.257,0.219,0.0,0.0,-0.5,0.5,-0.5,0.337,0.254,-0.156,-0.384,-0.271,0.5,-0.127
-0.196,-0.344,0.031,-0.5,0.0,0.0,0.5,-0.5,-0.357,-0.068,0.156,-0.278,0.5,-0.5,-0.015
0.323,-0.296,0.416,0.5,-0.5,0.5,0.5,0.5,-0.091,-0.036,-0.413,0.156,-0.167,-0.5,-0.044
-0.008,0.016,-0.245,0.5,-0.5,0.5,-0.5,-0.5,0.127,-0.31,0.032,-0.134,0.3,-0.5,0.11
0.477,0.146,-0.203,-0.5,-0.5,-0.5,0.5,0.5,-0.003,0.111,0.161,-0.156,0.173,0.5,-0.061
-0.458,-0.089,0.46,0.0,-0.5,0.5,-0.5,0.5,-0.092,-0.492,0.304,-0.273,0.064,-0.5,0.107
-0.02,-0.341,-0.199,-0.5,-0.5,-0.5,-0.5,0.5,-0.003,-0.072,-0.288,-0.352,-0.494,-0.5,-0.035
-0.234,-0.013,-0.453,-0.5,-0.5,-0.5,0.5,0.5,0.12,0.359,-0.294,-0.116,0.197,-0.5,-0.091
-0.161,0.062,-0.337,0.0,0.0,-0.5,0.5,-0.5,0.014,-0.153,0.036,0.332,-0.437,0.5,0.125
-0.142,0.209,0.222,-0.5,-0.5,0.0,-0.5,-0.5,0.046,-0.124,-0.219,-0.019,0.362,-0.5,0.065
0.298,0.465,-0.359,0.0,0.0,0.0,-0.5,0.5,-0.21,0.246,-0.124,-0.01,-0.446,-0.5,-0.065
-0.01,-0.025,-0.159,0.0,0.0,0.0,-0.5,0.5,-0.186,-0.372,-0.45,-0.001,-0.013,0.5,0.114
-0.428,-0.269,-0.225,0.5,-0.5,0.5,-0.5,0.5,0.089,0.182,0.357,0.377,0.023,0.5,-0.119
0.057,-0.328,0.281,0.0,0.0,0.0,0.5,0.5,0.192,0.377,0.001,0.454,0.204,-0.5,-0.18
-0.449,0.191,-0.444,-0.5,0.5,-0.5,-0.5,0.5,-0.338,-0.144,0.436,0.079,0.424,-0.5,0.145
0.248,0.258,-0.059,0.0,0.0,-0.5,0.5,-0.5,0.089,0.342,-0.103,-0.373,-0.23,0.5,-0.099
-0.35,-0.42,-0.151,0.0,0.0,0.5,0.5,0.5,0.225,-0.381,-0.378,-0.279,-0.163,-0.5,0.062
-0.489,-0.02,0.33,0.0,0.5,0.5,-0.5,0.5,-0.398,-0.28,0.402,-0.336,0.118,0.5,0.137
0.32,0.095,0.182,-0.5,0.0,-0.5,-0.5,0.5,-0.09,0.148,-0.333,-0.267,-0.31,0.5,-0.088
0.318,0.308,0.052,-0.5,0.0,0.0,0.5,0.5,-0.39,-0.332,-0.338,0.273,-0.384,0.5,0.23
-0.287,-0.378,0.158,0.0,0.0,0.5,-0.5,-0.5,-0.42,-0.002,0.139,0.059,0.432,-0.5,-0.022
-0.01,-0.389,0.361,0.5,-0.5,-0.5,0.5,0.5,-0.061,0.172,-0.42,-0.187,0.289,0.5,-0.14
-0.096,-0.141,0.361,0.0,-0.5,-0.5,-0.5,-0.5,-0.155,-0.463,-0.486,0.219,-0.043,-0.5,0.186
-0.154,0.057,0.182,0.0,-0.5,0.0,0.5,-0.5,-0.341,-0.293,0.01,0.399,-0.068,-0.5,0.215
0.454,-0.254,0.477,0.5,0.0,0.0,-0.5,0.5,0.065,-0.407,-0.344,-0.347,0.403,-0.5,0.093
0.413,-0.031,0.137,0.5,0.5,-0.5,-0.5,0.5,0.26,0.194,-0.427,-0.283,-0.06,-0.5,-0.111
-0.17,0.483,-0.077,0.0,0.5,0.5,0.5,0.5,-0.412,-0.469,0.275,0.233,-0.426,-0.5,0.226
-0.457,-0.137,0.258,0.5,0.0,0.5,0.5,0.5,0.109,-0.364,0.484,0.33,0.485,-0.5,0.168
-0.102,0.261,0.383,0.5,-0.5,-0.5,-0.5,0.5,0.342,-0.121,0.247,-0.042,-0.343,-0.5,0.044
-0.48,-0.367,-0.056,0.0,-0.5,-0.5,-0.5,0.5,-0.169,-0.338,0.042,0.487,0.141,0.5,0.172
-0.168,-0.318,-0.498,0.5,0.0,-0.5,0.5,0.5,-0.072,-0.032,-0.136,-0.377,-0.496,0.5,-0.053
0.367,-0.311,-0.149,0.0,-0.5,0.5,-0.5,0.5,0.015,0.04,0.051,-0.051,-0.152,0.5,-0.088
-0.289,0.223,-0.126,0.0,-0.5,-0.5,0.5,0.5,-0.333,-0.294,-0.191,0.077,0.172,0.5,0.169
-0.258,0.231,0.316,-0.5,-0.5,0.0,-0.5,-0.5,0.155,-0.029,0.471,0.007,-0.41,-0.5,-0.04
0.33,-0.261,0.291,0.5,0.5,0.5,0.5,-0.5,0.113,0.263,-0.262,-0.232,0.478,0.5,-0.105
-0.391,-0.285,0.302,0.5,0.0,-0.5,-0.5,-0.5,0.352,0.118,0.432,0.469,0.365,0.5,-0.134
-0.155,0.176,-0.345,-0.5,0.5,0.5,-0.5,0.5,-0.483,0.286,-0.227,0.346,0.06,0.5,-0.032
0.392,-0.496,-0.26,0.5,-0.5,0.5,-0.5,0.5,0.49,-0.004,0.376,-0.468,0.188,0.5,-0.132
-0.466,0.147,-0.366,0.0,0.5,0.0,0.5,-0.5,0.056,0.308,0.222,-0.156,0.199,-0.5,-0.075
0.458,-0.144,0.373,0.0,0.5,0.0,0.5,-0.5,0.005,-0.012,0.339,-0.354,0.1,-0.5,-0.048
-0.494,-0.026,-0.409,0.5,0.0,-0.5,0.5,-0.5,-0.065,0.321,-0.259,-0.206,0.402,-0.5,-0.082
0.086,-0.302,0.25,0.0,0.5,-0.5,0.5,-0.5,0.478,0.444,0.137,0.482,-0.449,0.5,-0.166
0.45,0.287,0.134,0.5,-0.5,-0.5,-0.5,0.5,0.025,-0.287,-0.346,-0.262,-0.271,0.5,0.102
0.286,-0.075,0.122,0.5,-0.5,0.5,-0.5,-0.5,0.479,0.388,0.398,0.132,-0.385,0.5,-0.126
0.416,0.34,-0.17,0.5,0.5,-0.5,0.5,0.5,0.064,0.363,-0.45,0.266,0.025,-0.5,-0.09
-0.004,-0.158,0.105,-0.5,0.5,0.5,0.5,0.5,-0.006,0.21,-0.282,0.158,-0.192,-0.5,-0.073
-0.07,-0.163,0.361,-0.5,-0.5,0.0,-0.5,-0.5,-0.405,0.121,-0.498,0.382,0.284,0.5,-0.013
0.057,-0.068,-0.043,0.0,0.5,0.0,-0.5,0.5,0.371,-0.497,0.284,-0.073,-0.477,0.5,0.1
0.193,0.07,0.077,-0.5,0.0,0.0,-0.5,-0.5,-0.223,-0.172,-0.133,0.368,0.06,0.5,0.172
0.446,-0.131,-0.375,0.0,0.0,-0.5,-0.5,-0.5,-0.305,0.219,-0.029,0.498,-0.433,0.5,-0.047
0.317,-0.008,0.195,0.0,0.5,0.0,0.5,-0.5,-0.388,0.437,-0.423,0.264,-0.2,0.5,-0.045
0.055,-0.318,-0.219,-0.5,0.5,0.0,-0.5,-0.5,0.196,-0.339,-0.158,0.048,0.401,-0.5,0.141
0.008,-0.14,0.355,0.0,0.5,-0.5,0.5,-0.5,-0.405,0.483,0.085,-0.068,0.015,-0.5,-0.059
0.309,0.009,-0.274,0.5,0.5,0.0,0.5,-0.5,0.396,-0.451,-0.119,0.079,-0.017,0.5,0.142
0.2,-0.301,-0.162,-0.5,-0.5,0.5,-0.5,-0.5,-0.267,-0.236,-0.408,0.191,-0.377,0.5,0.209
0.305,-0.329,0.34,0.5,0.5,-0.5,0.5,0.5,0.181,0.273,0.032,-0.378,0.337,0.5,-0.16
0.363,-0.071,0.134,0.5,0.0,0.0,-0.5,-0.5,-0.392,0.033,0.179,0.11,0.411,0.5,-0.004
-0.015,-0.253,-0.074,-0.5,0.0,-0.5,0.5,0.5,0.385,0.176,0.206,-0.474,0.259,0.5,-0.131
-0.148,-0.277,-0.03,0.5,0.0,0.5,0.5,0.5,0.265,0.282,0.321,-0.201,0.42,0.5,-0.206
0.304,0.124,-0.12,-0.5,0.5,-0.5,-0.5,-0.5,0.185,0.086,-0.397,0.333,0.07,-0.5,-0.079
-0.119,0.318,-0.021,-0.5,0.5,0.5,0.5,0.5,0.117,-0.209,0.316,-0.317,0.002,-0.5,0.09
-0.324,0.004,0.066,0.5,-0.5,-0.5,0.5,-0.5,-0.333,0.075,-0.246,0.464,-0.302,-0.5,0.003
0.055,-0.323,-0.177,0.0,-0.5,-0.5,0.5,0.5,0.325,-0.156,-0.239,-0.421,-0.372,0.5,0.024
0.285,0.171,0.345,-0.5,-0.5,-0.5,-0.5,-0.5,0.27,0.107,-0.162,-0.107,0.162,0.5,-0.107
0.143,0.186,0.461,0.0,0.0,-0.5,-0.5,0.5,-0.03,0.405,-0.159,0.173,-0.346,-0.5,-0.102
0.402,-0.245,0.417,0.0,-0.5,0.5,-0.5,0.5,0.207,-0.248,0.046,-0.456,-0.249,-0.5,0.073
-0.054,-0.026,-0.215,0.5,0.5,0.5,0.5,-0.5,0.285,-0.095,-0.213,0.014,-0.288,0.5,0.049
-0.047,0.455,-0.126,0.5,-0.5,0.0,-0.5,-0.5,-0.169,-0.176,-0.357,0.367,-0.009,-0.5,0.136
-0.142,-0.386,-0.091,0.5,0.0,-0.5,0.5,0.5,-0.247,-0.484,-0.037,0.388,-0.32,0.5,0.22
0.499,0.314,0.132,-0.5,0.0,0.0,-0.5,-0.5,-0.016,0.052,0.408,-0.028,0.063,0.5,-0.04
-0.434,-0.253,-0.107,0.5,0.5,-0.5,-0.5,-0.5,0.307,-0.272,-0.087,0.381,0.002,0.5,0.157
-0.271,-0.297,-0.035,0.0,0.0,0.5,-0.5,-0.5,-0.38,-0.057,-0.307,0.448,-0.266,0.5,0.039
0.266,-0.251,-0.304,0.5,0.5,0.5,-0.5,0.5,0.255,-0.127,0.012,0.136,-0.482,0.5,0.092
0.17,-0.323,-0.0,0.5,0.5,-0.5,-0.5,-0.5,0.319,0.266,-0.135,-0.028,-0.101,0.5,-0.167
0.462,-0.35,0.05,0.5,0.0,0.5,-0.5,-0.5,-0.298,0.055,-0.225,0.455,-0.369,-0.5,-0.037
0.044,0.251,-0.29,0.0,0.5,0.0,-0.5,-0.5,0.034,-0.273,-0.238,-0.169,-0.458,-0.5,0.11
0.494,0.366,0.287,0.5,0.5,-0.5,-0.5,0.5,-0.015,0.055,0.234,0.008,-0.35,-0.5,-0.058
0.41,0.105,0.119,-0.5,0.5,-0.5,-0.5,0.5,0.36,-0.467,-0.293,0.172,-0.146,0.5,0.148
0.139,0.066,-0.343,0.5,-0.5,-0.5,0.5,0.5,-0.237,-0.3,-0.039,-0.165,0.434,-0.5,0.131
-0.137,-0.238,-0.224,0.5,-0.5,0.0,0.5,-0.5,-0.478,0.224,0.3,0.205,0.456,-0.5,-0.048
0.012,0.288,0.412,0.0,0.5,-0.5,0.5,-0.5,-0.197,-0.157,0.381,-0.096,0.248,0.5,0.068
0.347,0.235,0.466,-0.5,0.0,0.5,0.5,-0.5,0.099,-0.19,0.328,0.106,-0.188,0.5,0.104
-0.336,0.377,0.2,0.5,0.0,-0.5,0.5,-0.5,-0.088,0.224,-0.117,-0.461,0.235,0.5,-0.08
-0.165,0.201,-0.457,0.5,0.0,0.0,0.5,-0.5,-0.428,-0.161,-0.086,0.005,-0.282,0.5,0.103
0.053,0.048,-0.367,0.0,0.5,0.5,0.5,-0.5,0.003,0.331,-0.031,0.325,0.193,-0.5,-0.085
0.042,0.222,0.293,-0.5,0.0,-0.5,0.5,0.5,-0.1,-0.065,0.423,0.064,-0.477,0.5,0.009
-0.278,-0.339,0.386,0.5,0.0,0.0,0.5,-0.5,-0.194,0.3,-0.426,0.285,-0.361,0.5,-0.145
0.478,0.028,0.395,0.5,0.5,0.5,0.5,0.5,0.008,-0.242,0.12,0.163,0.497,0.5,0.121
0.358,-0.247,-0.188,-0.5,0.5,-0.5,-0.5,0.5,0.315,0.06,-0.318,-0.193,-0.385,-0.5,-0.075
0.094,0.373,-0.286,-0.5,0.0,0.0,-0.5,-0.5,0.141,-0.115,-0.127,0.29,0.065,0.5,0.11
-0.317,0.208,-0.213,0.5,0.5,-0.5,0.5,-0.5,0.207,0.168,0.287,0.328,0.336,-0.5,-0.101
0.282,-0.181,0.096,0.5,0.0,0.0,0.5,-0.5,-0.073,-0.165,-0.186,-0.266,-0.073,0.5,0.075
-0.221,-0.043,0.17,-0.5,0.5,0.0,-0.5,-0.5,0.131,-0.443,-0.452,0.222,0.063,-0.5,0.193
-0.227,0.142,0.468,0.5,-0.5,0.0,0.5,0.5,-0.189,0.494,0.165,-0.114,0.237,-0.5,-0.102
-0.077,-0.497,-0.314,0.5,-0.5,-0.5,0.5,-0.5,-0.313,-0.317,-0.409,-0.46,0.231,-0.5,0.131
-0.464,0.322,-0.278,-0.5,0.0,-0.5,0.5,0.5,0.405,-0.13,-0.226,0.157,-0.026,0.5,0.083
-0.021,-0.131,0.126,0.0,-0.5,0.5,-0.5,0.5,-0.378,0.466,0.046,-0.22,-0.152,-0.5,-0.057
-0.328,0.489,-0.377,0.0,-0.5,0.5,-0.5,0.5,0.254,0.151,-0.224,0.25,-0.348,-0.5,-0.117
0.129,-0.239,-0.422,0.5,0.0,0.0,-0.5,-0.5,0.095,-0.2,-0.046,0.004,-0.05,0.5,0.086
0.115,-0.295,-0.237,0.0,0.5,-0.5,0.5,0.5,0.341,0.082,0.411,0.446,0.405,0.5,-0.131
-0.048,0.384,0.308,-0.5,-0.5,0.0,-0.5,-0.5,-0.289,0.133,-0.069,-0.128,0.008,-0.5,-0.028
0.017,0.084,0.376,0.0,0.0,-0.5,0.5,-0.5,-0.063,-0.259,0.381,0.269,0.081,0.5,0.158
0.318,0.325,0.371,0.5,0.0,-0.5,-0.5,-0.5,-0.46,0.213,-0.439,-0.438,0.263,-0.5,-0.07
0.479,0.396,0.18,0.5,0.0,0.5,0.5,0.5,-0.198,-0.101,0.017,0.093,0.004,0.5,0.103
-0.431,0.017,0.237,-0.5,0.5,0.0,-0.5,0.5,0.416,-0.22,0.234,0.476,-0.029,-0.5,0.148
-0.451,0.102,0.471,0.5,-0.5,-0.5,-0.5,-0.5,0.296,-0.088,0.275,0.371,0.274,0.5,0.11
-0.158,-0.139,0.498,0.0,-0.5,-0.5,0.5,0.5,-0.14,0.298,0.024,-0.338,0.328,0.5,-0.102
-0.479,-0.172,-0.334,0.5,-0.5,0.5,-0.5,0.5,-0.245,0.459,-0.377,0.382,0.489,-0.5,-0.04
-0.406,-0.397,0.448,0.5,0.5,-0.5,0.5,0.5,-0.362,-0.22,0.464,-0.484,0.125,-0.5,0.106
-0.035,-0.396,-0.198,0.5,0.0,0.5,-0.5,0.5,0.154,-0.312,-0.483,0.109,-0.413,-0.5,0.114
0.079,-0.479,0.143,0.5,0.0,0.0,-0.5,-0.5,0.109,-0.317,0.337,-0.38,0.098,0.5,0.096
-0.338,0.408,0.031,0.5,0.5,0.5,0.5,0.5,-0.008,-0.406,-0.311,0.427,-0.12,0.5,0.173
0.093,0.137,-0.151,0.0,-0.5,0.5,-0.5,-0.5,0.232,0.134,-0.225,0.411,0.435,-0.5,-0.093
0.173,-0.115,-0.144,0.5,-0.5,0.5,0.5,0.5,-0.031,0.372,-0.137,0.045,0.361,-0.5,-0.097
0.334,-0.441,-0.026,-0.5,-0.5,0.0,-0.5,-0.5,0.461,0.132,0.35,0.043,-0.432,0.5,-0.141
0.185,0.476,0.108,0.0,0.5,0.0,0.5,-0.5,0.083,0.101,0.231,0.302,-0.195,0.5,-0.067
0.305,0.179,-0.126,0.0,-0.5,0.0,-0.5,-0.5,-0.148,-0.257,-0.042,-0.185,0.125,-0.5,0.106
-0.057,0.009,-0.356,0.5,0.0,0.0,0.5,0.5,0.369,0.221,0.21,-0.372,0.158,0.5,-0.134
0.408,-0.191,-0.217,0.0,0.0,0.5,0.5,-0.5,0.103,-0.029,-0.262,0.238,-0.225,-0.5,-0.001
0.127,-0.291,0.073,0.5,0.5,0.5,0.5,0.5,-0.051,0.285,-0.019,-0.465,0.474,-0.5,-0.137
0.326,-0.242,-0.12,0.0,0.5,-0.5,-0.5,0.5,-0.293,0.251,0.225,0.298,0.474,0.5,-0.045
-0.392,-0.197,0.064,0.5,0.0,-0.5,0.5,-0.5,0.443,-0.282,-0.204,-0.008,0.247,-0.5,0.077
0.499,0.382,0.407,0.0,0.5,0.5,-0.5,0.5,-0.418,-0.42,0.4,-0.441,-0.344,-0.5,0.15
-0.076,-0.242,-0.147,0.5,-0.5,0.5,0.5,0.5,0.458,0.39,-0.463,0.475,-0.451,0.5,-0.131
0.021,-0.417,-0.473,-0.5,0.0,0.5,-0.5,-0.5,-0.082,0.413,-0.224,-0.041,0.023,-0.5,-0.137
-0.311,-0.093,0.311,0.5,-0.5,-0.5,-0.5,-0.5,-0.096,0.441,0.347,0.128,-0.074,-0.5,-0.085
-0.252,-0.03,0.079,0.5,0.5,-0.5,-0.5,-0.5,-0.092,0.108,-0.041,-0.189,0.316,-0.5,-0.036
-0.278,0.454,0.18,-0.5,0.5,0.5,0.5,-0.5,-0.278,0.416,0.444,0.469,-0.342,0.5,-0.035
-0.114,0.491,-0.466,-0.5,0.5,-0.5,0.5,-0.5,-0.031,0.413,0.206,0.34,-0.409,0.5,-0.071
-0.038,0.008,-0.457,-0.5,0.0,0.0,-0.5,-0.5,0.361,-0.266,-0.228,-0.14,0.323,-0.5,0.093
0.19,0.234,0.136,0.5,0.0,-0.5,-0.5,0.5,-0.253,0.462,-0.02,-0.377,0.034,-0.5,-0.067
0.3,-0.317,0.458,0.5,0.0,0.5,-0.5,-0.5,0.013,0.439,-0.468,-0.025,-0.153,-0.5,-0.146
0.346,-0.092,-0.277,0.5,-0.5,-0.5,-0.5,-0.5,0.335,0.387,-0.228,0.405,0.401,-0.5,-0.13
0.268,-0.035,-0.29,0.0,0.0,0.5,0.5,-0.5,-0.117,-0.247,0.272,-0.337,0.433,-0.5,0.1
-0.326,-0.209,0.085,0.5,0.5,0.0,0.5,0.5,0.069,0.034,-0.451,0.062,-0.394,-0.5,-0.034
0.436,0.213,0.202,0.5,0.0,-0.5,0.5,-0.5,-0.287,0.206,0.256,0.466,-0.438,0.5,-0.054
0.217,0.045,0.01,0.0,0.0,0.5,-0.5,0.5,-0.271,0.489,0.266,-0.333,0.415,-0.5,-0.068
-0.31,-0.291,-0.459,0.0,0.5,0.5,0.5,0.5,0.093,-0.337,0.099,0.033,-0.491,0.5,0.084
-0.213,0.432,-0.4,-0.5,-0.5,0.5,0.5,-0.5,0.35,0.232,-0.442,-0.165,0.381,0.5,-0.129
0.336,-0.171,0.418,0.5,0.5,-0.5,-0.5,-0.5,0.486,-0.466,-0.183,0.017,0.497,0.5,0.105
-0.222,-0.373,-0.011,0.5,0.5,0.0,-0.5,0.5,0.01,0.035,-0.044,-0.238,-0.159,-0.5,-0.072
-0.43,-0.131,-0.449,-0.5,0.0,-0.5,-0.5,-0.5,0.453,0.247,-0.399,0.302,-0.291,-0.5,-0.117
-0.472,0.192,0.283,0.0,-0.5,0.5,0.5,0.5,-0.316,0.316,0.321,0.043,-0.311,0.5,-0.067
-0.227,0.381,-0.443,0.0,0.0,-0.5,-0.5,-0.5,0.35,0.072,0.157,-0.198,-0.283,-0.5,-0.072
0.149,0.48,-0.178,-0.5,0.0,0.0,0.5,0.5,-0.263,-0.372,-0.324,-0.466,-0.257,-0.5,0.144
0.461,0.126,-0.014,0.5,0.0,-0.5,-0.5,0.5,-0.093,0.262,-0.111,-0.028,0.135,-0.5,-0.094
-0.403,0.148,0.155,0.5,-0.5,0.0,-0.5,-0.5,0.323,0.339,0.269,-0.253,-0.307,-0.5,-0.121
0.286,0.153,-0.185,0.0,-0.5,-0.5,-0.5,0.5,0.191,0.479,-0.175,0.47,0.252,0.5,-0.124
0.405,0.227,0.22,-0.5,-0.5,0.5,-0.5,0.5,-0.486,0.462,0.429,0.183,0.229,0.5,-0.049
0.277,-0.18,-0.336,0.0,0.5,-0.5,0.5,-0.5,-0.344,0.074,0.067,0.452,0.389,0.5,-0.007
0.228,-0.185,-0.107,-0.5,0.5,0.5,0.5,0.5,-0.045,0.074,0.362,-0.393,0.483,-0.5,-0.045
0.436,-0.226,-0.285,0.5,-0.5,-0.5,-0.5,0.5,0.14,0.241,-0.041,0.155,-0.416,-0.5,-0.093
-0.121,0.029,0.082,0.5,0.5,-0.5,0.5,-0.5,-0.192,-0.208,-0.234,0.414,-0.358,0.5,0.149
-0.071,0.45,0.154,0.0,0.5,0.5,-0.5,0.5,0.44,0.257,-0.248,-0.413,0.173,0.5,-0.107
0.319,0.074,0.437,0.0,0.0,0.5,0.5,0.5,0.476,0.294,0.441,-0.432,-0.033,-0.5,-0.152
0.199,0.328,0.393,-0.5,0.0,-0.5,0.5,-0.5,0.182,-0.156,0.19,0.104,0.444,-0.5,0.094
-0.456,0.101,0.071,-0.5,-0.5,-0.5,-0.5,-0.5,0.35,-0.272,0.462,0.264,0.124,-0.5,0.152
-0.349,-0.153,-0.196,0.0,-0.5,-0.5,-0.5,0.5,0.489,-0.12,0.309,0.495,0.4,0.5,0.106
0.257,-0.434,0.136,0.5,0.0,0.0,-0.5,0.5,0.314,0.361,-0.064,-0.296,0.141,0.5,-0.193
0.003,-0.278,0.033,-0.5,0.5,-0.5,-0.5,0.5,0.165,-0.356,-0.376,-0.339,-0.041,-0.5,0.081
