und_infl_adj_fs,width_mm_fs,asp_rat_adj_fs,ld_ind_fs,spd_rat_fs,roll_res_fs
-0.22,-0.28,-0.229,-0.456,0.11,-0.032
-0.428,-0.309,-0.005,-0.184,-0.234,-0.039
-0.213,0.2,-0.197,0.489,-0.45,-0.014
-0.299,0.068,-0.341,0.409,-0.277,0.037
-0.007,-0.194,0.469,0.458,0.437,-0.002
0.346,0.271,0.418,0.274,0.009,0.074
-0.479,0.047,0.199,0.27,0.074,0.044
-0.32,-0.1,0.282,-0.155,0.105,0.043
-0.04,0.469,0.073,-0.179,-0.01,0.039
0.401,0.435,0.421,0.464,0.1,0.074
0.277,-0.116,0.117,0.037,-0.444,0.071
-0.343,0.292,0.132,0.076,-0.453,-0.011
0.249,-0.088,-0.207,-0.072,0.216,0.066
0.448,0.474,-0.127,0.107,-0.221,0.063
0.046,-0.213,0.063,-0.128,0.345,0.002
-0.256,0.271,-0.401,-0.07,0.303,0.037
-0.479,-0.287,-0.162,0.001,-0.256,-0.037
-0.477,0.213,-0.39,-0.131,-0.174,0.03
0.079,0.258,0.197,0.432,-0.343,0.067
0.155,0.308,0.39,0.113,-0.014,0.072
-0.002,0.129,-0.462,-0.452,0.284,0.031
0.046,0.08,-0.126,0.417,-0.387,0.042
-0.492,0.035,0.223,0.274,-0.461,-0.011
-0.137,-0.024,0.192,0.006,-0.459,-0.002
-0.325,-0.443,0.117,0.208,-0.137,-0.034
0.462,-0.34,0.218,0.328,-0.256,0.013
0.425,0.26,0.343,0.244,-0.172,0.074
-0.082,-0.237,-0.112,0.165,-0.174,-0.006
-0.342,0.097,-0.006,0.077,-0.417,0.019
-0.014,0.32,-0.097,-0.031,-0.327,0.037
0.304,-0.232,-0.219,-0.385,0.287,0.01
0.365,0.095,0.31,0.058,0.232,0.074
0.291,-0.318,-0.088,-0.249,0.281,0.006
-0.494,-0.493,0.459,-0.157,0.32,-0.036
0.03,0.035,0.003,0.126,-0.375,0.045
-0.436,0.262,0.429,0.449,0.329,0.045
-0.007,0.186,-0.317,-0.156,-0.006,0.03
-0.031,-0.239,-0.26,0.159,0.189,-0.006
-0.493,-0.249,0.124,-0.174,0.126,-0.037
-0.257,-0.348,-0.444,-0.496,-0.458,-0.089
-0.246,0.342,-0.377,-0.415,0.381,0.031
-0.267,-0.368,-0.014,0.137,-0.148,-0.028
-0.222,0.132,-0.436,0.206,-0.384,0.032
-0.095,-0.4,0.419,0.336,-0.229,-0.002
0.408,-0.166,0.155,-0.081,0.013,0.014
0.22,0.245,0.26,-0.193,-0.026,0.065
0.233,0.356,-0.458,-0.263,-0.095,0.054
-0.1,-0.101,0.207,0.032,0.288,0.048
-0.343,-0.054,-0.162,0.236,-0.083,0.037
0.459,-0.206,0.258,-0.466,0.28,0.014
-0.408,0.323,-0.344,0.438,-0.261,0.037
0.094,0.318,0.431,-0.26,0.215,0.064
0.354,-0.346,0.24,-0.063,-0.319,0.011
0.247,0.363,0.463,0.052,0.09,0.074
-0.141,-0.098,-0.303,0.299,0.12,0.041
-0.035,-0.204,-0.357,-0.23,0.131,-0.008
0.224,-0.3,-0.448,-0.335,0.078,0.006
0.109,0.168,0.459,0.419,-0.485,0.024
-0.202,0.26,0.188,0.328,0.313,0.044
0.106,0.311,-0.219,-0.371,0.401,0.052
0.017,0.448,-0.144,-0.373,-0.124,0.031
0.348,0.264,-0.372,-0.301,-0.213,0.054
-0.248,-0.288,0.179,-0.404,0.054,-0.028
-0.27,-0.116,-0.47,-0.442,0.141,0.034
-0.051,0.441,0.02,-0.076,-0.182,0.037
0.426,-0.436,0.309,-0.264,-0.485,-0.042
-0.425,0.428,-0.358,-0.008,-0.379,0.032
0.077,-0.007,0.001,0.352,0.012,0.06
-0.161,-0.465,-0.161,0.292,0.358,-0.024
0.16,0.037,0.317,0.23,0.126,0.072
0.225,0.204,-0.391,-0.346,-0.003,0.054
-0.013,0.229,0.142,-0.223,-0.41,0.023
-0.166,-0.02,-0.191,0.358,0.253,0.037
-0.397,-0.1,0.217,-0.204,0.03,0.042
-0.119,0.337,0.329,0.353,-0.172,0.045
-0.385,-0.065,-0.473,0.078,-0.247,0.037
-0.133,-0.119,-0.306,-0.407,0.352,0.034
-0.407,-0.317,-0.377,-0.031,-0.13,-0.037
-0.41,0.404,0.009,0.174,-0.278,0.037
-0.063,-0.244,-0.032,0.395,-0.005,-0.005
0.395,-0.456,-0.362,0.09,-0.045,0.009
0.287,0.195,0.333,0.239,-0.351,0.071
-0.145,0.324,-0.402,-0.266,-0.214,0.03
-0.273,-0.057,0.1,-0.005,0.086,0.044
0.169,-0.028,0.202,-0.17,0.318,0.065
0.333,0.215,0.481,-0.026,0.103,0.074
-0.169,-0.339,0.151,-0.342,-0.187,-0.023
0.282,0.439,0.295,0.176,-0.276,0.072
0.489,0.287,-0.095,-0.322,0.096,0.054
-0.43,0.268,0.489,-0.262,0.28,0.04
0.132,0.224,0.102,-0.165,0.487,0.063
0.434,0.3,0.36,-0.318,0.129,0.068
0.116,0.355,-0.077,-0.253,0.202,0.052
-0.146,-0.403,0.098,0.316,-0.132,-0.021
-0.06,0.227,-0.492,-0.389,-0.151,0.031
0.06,-0.337,0.362,0.034,0.319,0.003
0.179,-0.467,0.032,0.054,-0.35,0.007
0.132,0.321,-0.149,-0.242,0.46,0.052
-0.227,-0.248,-0.399,-0.361,-0.034,-0.032
